"id","titleKo","year","director","kofaExactRank","inDegree","goldInDegree","weightedInDegree","pageRank"
"film_0077","우리들","2016","윤가은","","0","0","0","0.0059164754884977935"
"film_0078","강철비","2017","양우석","","0","0","0","0.0059164754884977935"
"film_0079","공조","2017","김성훈","","0","0","0","0.0059164754884977935"
"film_0081","희생부활자","2017","곽경택","","0","0","0","0.0059164754884977935"
"film_0082","물괴","2018","허종호","","0","0","0","0.0059164754884977935"
"film_0083","죄 많은 소녀","2018","김의석","","0","0","0","0.0059164754884977935"
"film_0084","창궐","2018","김성훈","","0","0","0","0.0059164754884977935"
"film_0086","기묘한 가족","2019","이민재","","0","0","0","0.0059164754884977935"
"film_0087","기생충","2019","봉준호","3","0","0","0","0.0059164754884977935"
"film_0088","사바하","2019","장재현","","0","0","0","0.0059164754884977935"
"film_0089","#살아있다","2020","조일형","","0","0","0","0.0059164754884977935"
"film_0090","소리꾼","2020","조정래","","0","0","0","0.0059164754884977935"
"film_0091","헤어질 결심","2022","박찬욱","8","0","0","0","0.0059164754884977935"
"film_0092","거미집","2023","김지운","","0","0","0","0.0059164754884977935"
"film_0093","괴인","2023","이정홍","","0","0","0","0.0059164754884977935"
"film_0094","베테랑2","2024","류승완","","0","0","0","0.0059164754884977935"
"film_0095","좀비딸","2025","필감성","","0","0","0","0.0059164754884977935"
